2026-06-16 12:57:41 | INFO | sentiment_pipeline | Running experiment: linear_svc__basic_unigram
2026-06-16 12:57:41 | INFO | sentiment_pipeline | Building classifier: linear_svc
2026-06-16 12:57:49 | INFO | sentiment_pipeline | Running experiment: linear_svc__unigram_bigram
2026-06-16 12:57:49 | INFO | sentiment_pipeline | Building classifier: linear_svc
2026-06-16 12:58:01 | INFO | sentiment_pipeline | Running experiment: linear_svc__char_word_hybrid
2026-06-16 12:58:01 | INFO | sentiment_pipeline | Building classifier: linear_svc
2026-06-16 12:58:12 | INFO | sentiment_pipeline | Running experiment: sgd_classifier__basic_unigram
2026-06-16 12:58:12 | INFO | sentiment_pipeline | Building classifier: sgd_classifier
2026-06-16 12:58:16 | INFO | sentiment_pipeline | Running experiment: sgd_classifier__unigram_bigram
2026-06-16 12:58:16 | INFO | sentiment_pipeline | Building classifier: sgd_classifier
2026-06-16 12:58:29 | INFO | sentiment_pipeline | Running experiment: sgd_classifier__char_word_hybrid
2026-06-16 12:58:29 | INFO | sentiment_pipeline | Building classifier: sgd_classifier
2026-06-16 12:58:39 | INFO | sentiment_pipeline | Running experiment: complement_nb__basic_unigram
2026-06-16 12:58:39 | INFO | sentiment_pipeline | Building classifier: complement_nb
2026-06-16 12:58:42 | INFO | sentiment_pipeline | Running experiment: complement_nb__unigram_bigram
2026-06-16 12:58:42 | INFO | sentiment_pipeline | Building classifier: complement_nb
2026-06-16 12:58:52 | INFO | sentiment_pipeline | Running experiment: complement_nb__char_word_hybrid
2026-06-16 12:58:52 | INFO | sentiment_pipeline | Building classifier: complement_nb
2026-06-16 12:59:01 | INFO | sentiment_pipeline | Building classifier: logistic_regression
2026-06-16 12:59:01 | INFO | sentiment_pipeline | Retraining best model logistic_regression with TF-IDF variant char_word_hybrid on train + validation
2026-06-16 12:59:13 | INFO | sentiment_pipeline | Saved model comparison report to D:\twitter-sentiment-processing\data\reports\experiments\model_comparison.csv
2026-06-16 12:59:23 | INFO | sentiment_pipeline | Loaded dataset from D:\twitter-sentiment-processing\data\processed\validation.csv with 17346 rows and columns: ['sentiment', 'text', 'clean_text']
2026-06-16 12:59:24 | INFO | sentiment_pipeline | Saved validation error analysis to D:\twitter-sentiment-processing\data\reports\error_analysis.csv
2026-06-16 12:59:33 | INFO | sentiment_pipeline | Loaded dataset from D:\twitter-sentiment-processing\data\processed\test.csv with 17347 rows and columns: ['sentiment', 'text', 'clean_text']
2026-06-16 12:59:35 | INFO | sentiment_pipeline | Saved final best model test metrics to D:\twitter-sentiment-processing\data\reports\experiments\final_best_model_test_metrics.json
2026-06-16 13:00:40 | INFO | sentiment_pipeline | Loaded dataset from D:\twitter-sentiment-processing\data\processed\train.csv with 138772 rows and columns: ['sentiment', 'text', 'clean_text']
2026-06-16 13:00:40 | INFO | sentiment_pipeline | Loaded dataset from D:\twitter-sentiment-processing\data\processed\validation.csv with 17346 rows and columns: ['sentiment', 'text', 'clean_text']
2026-06-16 13:00:40 | INFO | sentiment_pipeline | Running experiment: logistic_regression__basic_unigram
2026-06-16 13:00:40 | INFO | sentiment_pipeline | Building classifier: logistic_regression
2026-06-16 13:00:44 | INFO | sentiment_pipeline | Running experiment: logistic_regression__unigram_bigram
2026-06-16 13:00:44 | INFO | sentiment_pipeline | Building classifier: logistic_regression
2026-06-16 13:00:53 | INFO | sentiment_pipeline | Running experiment: logistic_regression__char_word_hybrid
2026-06-16 13:00:53 | INFO | sentiment_pipeline | Building classifier: logistic_regression
2026-06-16 13:01:04 | INFO | sentiment_pipeline | Running experiment: linear_svc__basic_unigram
2026-06-16 13:01:04 | INFO | sentiment_pipeline | Building classifier: linear_svc
2026-06-16 13:01:09 | INFO | sentiment_pipeline | Running experiment: linear_svc__unigram_bigram
2026-06-16 13:01:09 | INFO | sentiment_pipeline | Building classifier: linear_svc
2026-06-16 13:01:20 | INFO | sentiment_pipeline | Running experiment: linear_svc__char_word_hybrid
2026-06-16 13:01:20 | INFO | sentiment_pipeline | Building classifier: linear_svc
2026-06-16 13:01:30 | INFO | sentiment_pipeline | Running experiment: sgd_classifier__basic_unigram
2026-06-16 13:01:30 | INFO | sentiment_pipeline | Building classifier: sgd_classifier
2026-06-16 13:01:33 | INFO | sentiment_pipeline | Running experiment: sgd_classifier__unigram_bigram
2026-06-16 13:01:33 | INFO | sentiment_pipeline | Building classifier: sgd_classifier
2026-06-16 13:01:42 | INFO | sentiment_pipeline | Running experiment: sgd_classifier__char_word_hybrid
2026-06-16 13:01:42 | INFO | sentiment_pipeline | Building classifier: sgd_classifier
2026-06-16 13:01:49 | INFO | sentiment_pipeline | Running experiment: complement_nb__basic_unigram
2026-06-16 13:01:49 | INFO | sentiment_pipeline | Building classifier: complement_nb
2026-06-16 13:01:52 | INFO | sentiment_pipeline | Running experiment: complement_nb__unigram_bigram
2026-06-16 13:01:52 | INFO | sentiment_pipeline | Building classifier: complement_nb
2026-06-16 13:02:00 | INFO | sentiment_pipeline | Running experiment: complement_nb__char_word_hybrid
2026-06-16 13:02:00 | INFO | sentiment_pipeline | Building classifier: complement_nb
2026-06-16 13:02:08 | INFO | sentiment_pipeline | Building classifier: logistic_regression
2026-06-16 13:02:08 | INFO | sentiment_pipeline | Retraining best model logistic_regression with TF-IDF variant char_word_hybrid on train + validation
2026-06-16 13:02:20 | INFO | sentiment_pipeline | Saved model comparison report to D:\twitter-sentiment-processing\data\reports\experiments\model_comparison.csv
2026-06-16 13:02:23 | INFO | sentiment_pipeline | Loaded dataset from D:\twitter-sentiment-processing\data\processed\validation.csv with 17346 rows and columns: ['sentiment', 'text', 'clean_text']
2026-06-16 13:02:24 | INFO | sentiment_pipeline | Saved validation error analysis to D:\twitter-sentiment-processing\data\reports\error_analysis.csv
2026-06-16 13:02:28 | INFO | sentiment_pipeline | Loaded dataset from D:\twitter-sentiment-processing\data\processed\test.csv with 17347 rows and columns: ['sentiment', 'text', 'clean_text']
2026-06-16 13:02:30 | INFO | sentiment_pipeline | Saved final best model test metrics to D:\twitter-sentiment-processing\data\reports\experiments\final_best_model_test_metrics.json
2026-06-16 13:11:47 | INFO | sentiment_pipeline | Loaded dataset from D:\twitter-sentiment-processing\data\processed\train.csv with 138772 rows and columns: ['sentiment', 'text', 'clean_text']
2026-06-16 13:11:47 | INFO | sentiment_pipeline | Loaded dataset from D:\twitter-sentiment-processing\data\processed\validation.csv with 17346 rows and columns: ['sentiment', 'text', 'clean_text']
2026-06-16 13:11:47 | INFO | sentiment_pipeline | Running experiment: logistic_regression__basic_unigram
2026-06-16 13:11:47 | INFO | sentiment_pipeline | Building classifier: logistic_regression
2026-06-16 13:11:51 | INFO | sentiment_pipeline | Running experiment: logistic_regression__unigram_bigram
2026-06-16 13:11:51 | INFO | sentiment_pipeline | Building classifier: logistic_regression
2026-06-16 13:12:03 | INFO | sentiment_pipeline | Running experiment: logistic_regression__real_word_char_hybrid
2026-06-16 13:12:03 | INFO | sentiment_pipeline | Building classifier: logistic_regression
2026-06-16 13:12:46 | INFO | sentiment_pipeline | Running experiment: linear_svc__basic_unigram
2026-06-16 13:12:46 | INFO | sentiment_pipeline | Building classifier: linear_svc
2026-06-16 13:12:52 | INFO | sentiment_pipeline | Running experiment: linear_svc__unigram_bigram
2026-06-16 13:12:52 | INFO | sentiment_pipeline | Building classifier: linear_svc
2026-06-16 13:13:08 | INFO | sentiment_pipeline | Running experiment: linear_svc__real_word_char_hybrid
2026-06-16 13:13:08 | INFO | sentiment_pipeline | Building classifier: linear_svc
2026-06-16 13:14:14 | INFO | sentiment_pipeline | Running experiment: sgd_classifier__basic_unigram
2026-06-16 13:14:14 | INFO | sentiment_pipeline | Building classifier: sgd_classifier
2026-06-16 13:14:18 | INFO | sentiment_pipeline | Running experiment: sgd_classifier__unigram_bigram
2026-06-16 13:14:18 | INFO | sentiment_pipeline | Building classifier: sgd_classifier
2026-06-16 13:14:27 | INFO | sentiment_pipeline | Running experiment: sgd_classifier__real_word_char_hybrid
2026-06-16 13:14:27 | INFO | sentiment_pipeline | Building classifier: sgd_classifier
2026-06-16 13:15:00 | INFO | sentiment_pipeline | Running experiment: complement_nb__basic_unigram
2026-06-16 13:15:00 | INFO | sentiment_pipeline | Building classifier: complement_nb
2026-06-16 13:15:04 | INFO | sentiment_pipeline | Running experiment: complement_nb__unigram_bigram
2026-06-16 13:15:04 | INFO | sentiment_pipeline | Building classifier: complement_nb
2026-06-16 13:15:12 | INFO | sentiment_pipeline | Running experiment: complement_nb__real_word_char_hybrid
2026-06-16 13:15:12 | INFO | sentiment_pipeline | Building classifier: complement_nb
2026-06-16 13:15:47 | INFO | sentiment_pipeline | Building classifier: logistic_regression
2026-06-16 13:15:47 | INFO | sentiment_pipeline | Retraining best model logistic_regression with TF-IDF variant real_word_char_hybrid on train + validation
2026-06-16 13:16:38 | INFO | sentiment_pipeline | Saved model comparison report to D:\twitter-sentiment-processing\data\reports\experiments\model_comparison.csv
2026-06-16 13:16:53 | INFO | sentiment_pipeline | Loaded dataset from D:\twitter-sentiment-processing\data\processed\validation.csv with 17346 rows and columns: ['sentiment', 'text', 'clean_text']
