threshold,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,negative_f1,positive_f1,false_positives,false_negatives
0.3,0.7842153810676813,0.8002558332984944,0.761211656216502,0.7675464010047615,0.7768264833390371,0.7052987953704433,0.8297940066390797,2901,842
0.31,0.7868672892885968,0.8007907060614625,0.7650138111856735,0.771333674042731,0.7802188607328016,0.7117348927875243,0.8309324552979376,2816,881
0.32,0.7895191975095123,0.8013789516682503,0.7688511263499149,0.7750938936730664,0.7835855476045595,0.7181347950281788,0.8320529923179539,2729,922
0.33,0.7906145509051078,0.8003553964767663,0.7710877144894266,0.7771346873211791,0.7853060251617885,0.7223241590214067,0.8319452156209514,2656,976
0.34,0.7925170068027211,0.8003720562380183,0.774167331528824,0.7800032221284594,0.7878254718668304,0.7275342569460217,0.832472187310897,2575,1024
0.35,0.7937276605557477,0.800089606105204,0.7763460399504658,0.7819583544311197,0.7895105692297023,0.7313006908981676,0.8326160179640718,2511,1067
0.36,0.795630116453361,0.8003759248217589,0.7794256569898631,0.7847430625386301,0.7919601662103795,0.7363332093715136,0.8331529157057467,2430,1115
0.37,0.796783120027672,0.8000952401164205,0.7816596754167422,0.7866459786462265,0.7935792364120077,0.7401400663472171,0.833151890945236,2360,1165
0.38,0.7975325723509743,0.7993641584350084,0.7835952400764225,0.7881631574772359,0.7948049630867444,0.7436122061614834,0.8327141087929885,2287,1225
0.39,0.7985126253891387,0.7992002040668524,0.7856260064707812,0.7898025022939541,0.7961815389193144,0.747014115092291,0.8325908894956172,2220,1275
0.4,0.7990891271762942,0.7986293160227365,0.7873407390004062,0.7910469443752332,0.7971583415904973,0.7500537904324751,0.8320400983179912,2151,1334
0.41,0.7998385794995965,0.7984701233198332,0.7891356628798076,0.7923880207629519,0.7982514245648273,0.7530583214793741,0.8317177200465297,2086,1386
0.42,0.800415081286752,0.7981865816577738,0.7908328153118978,0.7935639706927493,0.7991706074003729,0.7559565769068095,0.8311713644786891,2018,1444
0.43,0.8009915830739075,0.7980925294527353,0.7924420672563137,0.7946682400503837,0.8000401733811433,0.7586351559222486,0.8307013241785188,1955,1497
0.44,0.8017986855759253,0.7983311312250719,0.7943223219107567,0.79600196952841,0.8011286137482713,0.7616142005269727,0.8303897385298471,1888,1550
0.45,0.8018563357546409,0.7979085828596766,0.7954448784403558,0.7965435918142494,0.8014450387745963,0.763666368699718,0.8294208149287806,1827,1610
0.46,0.8019716361120719,0.7976610906315562,0.7966527657449964,0.7971325983653589,0.8018036515990281,0.7658007772550623,0.8284644194756554,1764,1671
0.47,0.8021445866482186,0.7976244725018199,0.79777018284933,0.797696778532881,0.8021687971122989,0.7677000135372952,0.8276935435284667,1709,1723
0.48,0.8013951343249164,0.7967334602327119,0.7980497104790434,0.7973422936094943,0.8016148766058585,0.7686832740213523,0.8260013131976363,1656,1789
0.49,0.7994926784273031,0.7947908821098988,0.7971148653389002,0.7957826001571092,0.7998862196638336,0.7682569296375267,0.8233082706766918,1615,1863
0.5,0.7991467773550098,0.7945554561093922,0.7978686477111611,0.795826526645905,0.7997081578998584,0.7697898770979252,0.8218631761938848,1555,1929
0.51,0.7979937737806987,0.7936138282179213,0.7977266608909316,0.7950063622500024,0.798695687091636,0.7702596380802518,0.8197530864197531,1506,1998
0.52,0.7970137207425343,0.7929374953817876,0.7977000256155482,0.7943257366464853,0.7978310956340711,0.770812992254117,0.8178384810388535,1459,2062
0.53,0.7962642684192321,0.7926756672358236,0.7980850338304708,0.7939150162916722,0.7971953435065048,0.7719117077578418,0.8159183248255026,1400,2134
0.54,0.7936123601983166,0.7906469337114499,0.7965331313457626,0.7915629298182905,0.7946442245640739,0.7708946627415846,0.8122311968949963,1357,2223
0.55,0.7917099043007033,0.7894904543163128,0.7957213468883635,0.7899427299797301,0.7928150824586973,0.7706759758806728,0.8092094840787876,1309,2304
0.56,0.7895768476882278,0.7882630572368133,0.7947088801110769,0.7880796157017438,0.7907352000069892,0.7702668680765358,0.8058923633269517,1261,2389
0.57,0.7892309466159345,0.7889015957158291,0.7954626624833376,0.787980730481131,0.7904079518959973,0.7716997627076309,0.8042616982546311,1201,2455
0.58,0.7880779430416234,0.7888362338863142,0.7953734159557129,0.7870451274968018,0.7892561051449051,0.7722146486553476,0.8018756063382559,1149,2527
0.59,0.7857142857142857,0.787831492123007,0.7941778469560734,0.7848973224229568,0.7868736246412696,0.7716409657799349,0.7981536790659788,1100,2617
0.6,0.7831776778508014,0.7866526408961232,0.7926911254362392,0.782534969219949,0.7842974766636226,0.7707126745107602,0.7943572639291377,1059,2702
0.61,0.7813905223106191,0.7866280829806058,0.7921730632116677,0.780931512221948,0.7824264745510456,0.7709038182696955,0.7909592061742007,1000,2792
0.62,0.779603366770437,0.7863956317375436,0.7914088796216078,0.7792710971395884,0.7805478419618387,0.7707071312901097,0.7878350629890671,955,2868
0.63,0.7768361581920904,0.7857060314429583,0.7898972767572348,0.7766330985982188,0.7776371370489872,0.7698983534446888,0.7833678437517488,904,2967
0.64,0.7729159460394327,0.7837996452504434,0.7870834006353309,0.7728028555419452,0.7735585455329084,0.7677339465770388,0.7778717645068516,870,3069
0.65,0.7696298858526461,0.7828159808456782,0.7849972018684666,0.769585037889385,0.7700642810009277,0.7663704396632367,0.7727996361155334,826,3170
0.66,0.767842730312464,0.7830495557542502,0.7842154381808719,0.7678310564206559,0.7680764928776951,0.7661847529466411,0.7694773598946706,782,3245
0.67,0.7643260694108152,0.7823408385515926,0.7819988774842594,0.7643251639443642,0.7642562952313583,0.7647871116225546,0.7638632162661737,734,3354
0.68,0.7610400092240286,0.7814068021767786,0.7797368777420466,0.7610199295226674,0.76069335022883,0.7632105112824907,0.758829347762844,700,3445
0.69,0.7561397440332065,0.7797619047619047,0.7761755823458294,0.7560546333826652,0.7553753243014937,0.7606112054329371,0.7514980613323934,660,3570
0.7,0.7511241784849533,0.7779115933381948,0.7723908851069246,0.7509358355562461,0.7499147562823748,0.7577848846995455,0.7440867864129468,627,3690
